GeneID	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M	G2M
ENSMUSG00000000088	317	419	396	39	466	159	343	280	506	124	57	420	142	30	246	316	227	73	34	71	124	257	426	84	52	78	27	87	25	131	11	13	12	126	59	204	30	49	55	15	62	106	79	70	294	21	61	27	100	24	463	275	256	176	553	349	1044	295	334	488	700	652	350	188	220	350	360	1570	594	836	481	395	1479	165	158	190	251	186	149	157	229	517	376	349	143	157	252	47	168	99	166	101	93	560	300	132	346	403	125	136
ENSMUSG00000000740	404	327	334	47	336	132	690	592	584	234	568	327	546	260	290	455	365	264	198	225	258	556	1097	265	205	272	120	163	183	338	75	92	143	324	262	813	266	48	273	48	436	342	351	125	330	136	94	72	442	98	920	577	508	155	1467	744	2097	1209	868	858	728	1033	445	454	418	421	790	2873	938	1408	867	180	2465	331	717	237	274	420	309	327	353	993	923	781	730	424	494	297	385	502	509	388	415	1317	836	661	498	1370	550	509
ENSMUSG00000001403	113	198	208	55	704	342	852	1252	1268	580	448	858	1029	155	872	510	79	996	200	412	248	344	1113	168	285	420	349	11	980	804	1202	272	111	323	356	358	498	91	34	105	773	146	614	67	688	996	111	130	642	157	3985	1185	358	917	5374	604	4256	3613	548	1000	1989	1850	1577	2717	1353	1928	3115	4660	3517	4971	2688	1432	5116	527	3375	834	949	1443	1272	2525	1923	2376	1528	2259	1911	1603	1046	1114	1792	1668	1615	808	1212	6004	3741	889	4178	5500	1638	1587
ENSMUSG00000002257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	9	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	8	0	0	0	158	0	0	1	0	6	192	0	56	91	0	0	2	9	87	148	0	174	1	7	22	28	0	0	0	1	79	0	0	1	0	0	121	0	1	0	1	0	0	1	1	14	26	0	0	2	2	0
ENSMUSG00000003779	678	133	1	208	692	0	1074	518	526	10	431	912	360	345	727	639	348	190	307	366	364	1047	152	715	423	491	631	163	15	320	23	133	110	182	10	748	97	0	431	0	526	471	14	2732	6	903	743	0	73	0	6	1432	409	725	1636	2835	2365	1167	740	934	1457	1418	678	607	618	21	791	25	1355	690	1149	5	1144	617	1429	1557	6	514	510	281	361	2038	655	975	611	635	763	244	162	451	1401	1027	280	690	1659	126	2763	1955	1650	1342
ENSMUSG00000005397	2	2	1	98	178	46	122	45	5	768	12	1	530	132	612	9	70	386	8	1105	1	2831	461	17	32	267	231	307	12	45	308	1518	42	154	0	508	405	11	11	17	1	772	0	11	119	1112	224	147	1406	147	85	1436	768	327	960	4634	62	263	1191	797	2488	445	361	646	427	347	672	4953	534	2099	1800	669	2363	596	1062	533	653	597	1523	13	666	970	281	1093	1094	1518	870	776	1226	534	504	199	1258	640	798	809	2141	3072	209	1023
ENSMUSG00000005410	722	16	1127	419	600	84	635	2228	478	660	943	2411	494	505	1497	1520	597	1504	881	579	1254	709	4582	846	1570	2047	344	9	7	443	2282	1303	29	95	1469	1087	185	1036	27	1107	532	3183	1974	879	85	907	487	1235	446	245	144	1944	2826	988	3294	0	3159	1048	2470	862	1155	1773	190	1099	694	375	1437	7611	2326	4615	2198	3442	933	1107	2180	2684	634	306	2145	455	4479	1327	1162	1085	164	2489	1665	906	759	445	2308	655	1020	5586	188	1976	2261	2437	2304	1693
ENSMUSG00000006056	183	707	536	278	17	28	2	287	2788	909	254	391	602	1	877	864	180	406	715	508	456	343	1964	488	906	127	791	269	51	564	5	442	291	857	433	1041	32	65	564	11	1351	598	795	34	772	399	138	136	594	9	2831	467	1267	47	3198	74	4658	1039	612	2177	926	1672	1705	544	652	115	879	1863	1610	1418	2170	647	2037	327	2131	330	397	799	93	460	211	1050	1436	1549	2141	2355	1259	55	1351	480	1251	1757	272	1024	1531	1490	138	1574	711	665
ENSMUSG00000006276	1	0	1	1	153	123	176	1	127	2	7	0	262	33	4	67	12	1	4	1	38	13	38	0	0	1	183	0	598	108	0	20	1	100	718	0	59	89	14	6	102	147	74	23	83	537	35	271	6	1	4	730	135	1	42	0	693	426	630	500	295	310	7	13	40	102	0	8	1227	614	2	104	448	136	1007	49	300	155	0	0	1516	2	822	230	907	22	263	40	10	28	433	148	289	1134	307	121	164	617	525	344
ENSMUSG00000000001	43	82	5	0	2	87	49	855	45	137	733	1647	1036	1	715	643	1083	5	1250	36	541	608	114	153	38	524	177	1	502	501	0	6	836	471	435	696	0	36	169	42	0	214	1076	517	0	200	1	0	65	185	2815	562	4	529	2033	113	476	137	5	1110	848	107	15	366	269	25	175	4411	31	226	257	2	1283	417	121	15	326	124	141	0	64	238	130	268	604	624	594	1	93	7	448	32	814	547	656	17	589	573	525	568
